 DECAY0 generated file: test0nukb+                              

  date and hour         :    4. 6.2019    10:30:30
  initial random number :            0
    
  event type: Xe124           
              0nuKb+    0+ -> 0+, 2+           
              level, Elevel (MeV) =  0+       0.0000     MeV
    
 Format of data:
  for each event    - event's number,
                      time of event's start, 
                      number of emitted particles;
  for each particle - GEANT number of particle,
                      x,y,z components of momentum,
                      time shift from previous time
    
 Time - in sec, momentum - in MeV/c
    
 First event and full number of events:
  1  0.755864E-02  0.175425E-01 -0.254238E-01  0.00000    
     156  0.00000       2
  2 -0.304208      -1.30681      -1.81463      0.00000    
  1 -0.489900E-02 -0.404299E-03 -0.314178E-01  0.00000    
     157  0.00000       2
  2 -0.785826      -2.04401      0.545578      0.00000    
  1 -0.112000E-02  0.299669E-01 -0.105816E-01  0.00000    
     158  0.00000       2
  2  -1.29095      0.295570       1.82736      0.00000    
  1 -0.460182E-02  0.314395E-01 -0.127369E-02  0.00000    
     159  0.00000       2
  2   1.91941      -1.03411     -0.582774      0.00000    
  1 -0.574989E-02 -0.848479E-02 -0.301029E-01  0.00000    
     160  0.00000       2
  2   1.57809      0.663771      -1.47045      0.00000    
  1 -0.210571E-01 -0.122092E-01  0.204640E-01  0.00000    
     161  0.00000       2
  2  -1.11505       1.74073     -0.905364      0.00000    
  1 -0.100413E-01 -0.913899E-02  0.287557E-01  0.00000    
     162  0.00000       2
  2  0.820625       2.01644      0.594717      0.00000    
  1 -0.191700E-01 -0.156639E-01  0.199598E-01  0.00000    
     163  0.00000       2
  2 -0.488683       2.09764      0.673971      0.00000    
  1  0.574927E-02 -0.308055E-01 -0.540418E-02  0.00000    
     164  0.00000       2
  2   1.89940       1.15980     -0.374553      0.00000    
  1 -0.296137E-01 -0.514134E-02  0.103844E-01  0.00000    
     165  0.00000       2
  2  0.116291E-02 -0.847975      -2.09143      0.00000    
  1  0.228493E-01 -0.390610E-02 -0.217691E-01  0.00000    
     166  0.00000       2
  2   1.01109      -1.65973       1.14723      0.00000    
  1 -0.153409E-01 -0.355737E-02  0.276269E-01  0.00000    
     167  0.00000       2
  2  -1.89240      0.146789       1.22083      0.00000    
  1 -0.316560E-01 -0.177653E-02 -0.244552E-02  0.00000    
     168  0.00000       2
  2  -1.54823      -1.43446      0.799042      0.00000    
  1 -0.154404E-01 -0.107866E-01 -0.256219E-01  0.00000    
     169  0.00000       2
  2 -0.739884      0.393166       2.09551      0.00000    
  1 -0.878840E-02 -0.304792E-01  0.224070E-02  0.00000    
     170  0.00000       2
  2   1.32916      0.336841      -1.79249      0.00000    
  1  0.633965E-02  0.303253E-01  0.717132E-02  0.00000    
     171  0.00000       2
  2   2.00500       1.01407      0.211687      0.00000    
  1 -0.176369E-01  0.951016E-02 -0.246928E-01  0.00000    
     172  0.00000       2
  2  0.971670      -1.99683      0.402120      0.00000    
  1 -0.181667E-01 -0.104590E-02  0.260790E-01  0.00000    
     173  0.00000       2
  2   1.56748      0.719445E-01  -1.62203      0.00000    
  1 -0.259093E-01 -0.165945E-01 -0.803570E-02  0.00000    
     174  0.00000       2
  2  -1.93104      0.937511     -0.696637      0.00000    
  1 -0.926173E-02 -0.518622E-02 -0.299761E-01  0.00000    
     175  0.00000       2
  2  0.387805      -1.19566       1.87434      0.00000    
  1  0.204009E-01 -0.243884E-01 -0.500188E-03  0.00000    
     176  0.00000       2
  2  -1.20858       1.90559      0.348385E-01  0.00000    
  1  0.185701E-01 -0.253683E-01 -0.477932E-02  0.00000    
     177  0.00000       2
  2  -1.46442      0.963895       1.42111      0.00000    
  1 -0.252747E-01 -0.153151E-01  0.117421E-01  0.00000    
     178  0.00000       2
  2  0.859255      -1.39604      -1.55110      0.00000    
  1 -0.310893E-02  0.309373E-01 -0.666763E-02  0.00000    
     179  0.00000       2
  2  0.603619     -0.561334       2.10088      0.00000    
  1 -0.240107E-03 -0.316150E-01 -0.341681E-02  0.00000    
     180  0.00000       2
  2   1.80069      -1.29897      0.404163      0.00000    
  1  0.122255E-01 -0.109497E-01  0.272375E-01  0.00000    
     181  0.00000       2
  2 -0.836828E-01  -1.51262      -1.67276      0.00000    
  1 -0.126712E-01  0.115027E-01  0.268024E-01  0.00000    
     182  0.00000       2
  2   1.94727      0.928305     -0.662982      0.00000    
  1 -0.301437E-02  0.311755E-01 -0.549950E-02  0.00000    
     183  0.00000       2
